|0
Dorothy Canfield Fisher Children's Book Award Nominee|428
National Book Award Finalist for Fiction|233
National Book Critics Circle Award Nominee for Fiction|224
Hugo Award Nominee for Best Novel|210
Newbery Medal Nominee|202
Newbery Medal|173
Nebula Award Nominee for Best Novel|173
Los Angeles Times Book Prize Nominee for Fiction|171
Margaret A. Edwards Award|166
Hugo Award for Best Novel|161
Locus Award Nominee for Best Fantasy Novel|159
World Fantasy Award Nominee for Best Novel|156
Booker Prize Nominee|154
Lewis Carroll Shelf Award|144
Books I Loved Best Yearly|144
Pulitzer Prize for Fiction|142
International Dublin Literary Award Nominee|127
Massachusetts Children's Book Award|123
National Book Award for Fiction|123
Locus Award Nominee for Best SF Novel|119
Nebula Award for Best Novel|116
Nene Award|114
Anthony Award Nominee for Best Novel|101
International Dublin Literary Award Nominee for Shortlist|100
PEN/Faulkner Award for Fiction Nominee|99
Orange Prize Nominee for Fiction Longlist|99
Zilveren Griffel|97
Edgar Award Nominee for Best Novel|96
William Allen White Children's Book Award|92
National Book Critics Circle Award Nominee for General Nonfiction|89
Prometheus Hall of Fame Award|89
Lincoln Award Nominee|88
Booker Prize|83
Audie Award for Classic|81
ALA Alex Award|79
Pulitzer Prize Nominee for Fiction|78
Arthur C. Clarke Award Nominee|75
Rebecca Caudill Young Readers' Book Award|75
Orange Prize Nominee for Fiction Shortlist|74
All About Romance|73
Mythopoeic Fantasy Award Nominee|73
National Book Critics Circle Award for Fiction|73
Dilys Award Nominee|73
West Australian Young Readers' Book Award|72
Pacific Northwest Library Association Young Reader's Choice Award|71
Balrog Award Nominee for Best Novel|70
Премія імені Максима Рильського|70
Audie Award for Fiction|70
Locus Award for Best Fantasy Novel|65
Colorado Blue Spruce Young Adult Book Award|64
Mythopoeic Fantasy Award for Children's Literature|63
Prix du Meilleur Livre Étranger for Roman|62
Los Angeles Times Book Prize for Fiction|62
Dorothy Canfield Fisher Children's Book Award|61
Locus Award for Best Science Fiction Novel|60
World Fantasy Award for Best Novel|58
Rhode Island Teen Book Award Nominee|58
Anthony Award Nominee for Best First Novel|58
California Young Readers Medal Nominee for Intermediate|55
Oklahoma Sequoyah Award|55
California Young Readers Medal Nominee for Middle School/Junior High|55
American Book Award|55
Unabridged|54
Abridged|54
Anthony Award for Best Novel|53
American Booksellers Book Of The Year  Award for Adult Trade|53
Prix des libraires du Québec for Lauréats hors Québec|50
James Tait Black Memorial Prize for Fiction|50
Audie Award for Nonfiction|49
Exclusive Books Boeke Prize|49
Premio Bancarella|49
Soaring Eagle Book Award|49
Indian Paintbrush Book Award|48
Hammett Prize Nominee|48
Flicker Tale Children's Book Award|48
Macavity Award Nominee for Best Mystery Novel|48
Prix Médicis Etranger|47
National Book Award Finalist for Children's Books|47
John W. Campbell Memorial Award Nominee for Best Science Fiction Novel|47
Barry Award Nominee for Best Novel|47
Charlotte Award|47
Nestlé Smarties Book Prize for 9–11 years|47
California Book Award for Fiction|47
Romantic Times Reviewers' Choice Award|46
Anthony Award for Best First Novel|46
Bram Stoker Award for Best Novel|46
National Book Award Finalist for Nonfiction|46
James Tait Black Memorial Prize Nominee for Fiction|46
Scotiabank Giller Prize Nominee|45
Whitbread Award Nominee for Novel|45
Grand Prix de Littérature Policière for Romans étrangers|45
Edgar Award Nominee for Best First Novel|44
Iowa Teen Award|44
James Tiptree Jr. Award Nominee for Longlist|44
Pulitzer Prize Nominee for General Nonfiction|44
Ambassador Book Award for Fiction|44
California Young Readers Medal for Intermediate|44
Ditmar Award Nominee for Best International Long Fiction|43
British Fantasy Award Nominee for Best Novel|43
Grand Canyon Reader Award for Teen Book|43
Edgar Award for Best Novel|42
PEN/Faulkner Award for Fiction|41
Martin Beck Award|41
Betty Trask Award|40
Locus Award Nominee for Best Novel|40
Mythopoeic Fantasy Award Nominee for Children's Literature|40
George C. Stone Center for Children's Books Recognition of Merit Award|40
British Science Fiction Association Award Nominee for Best Novel|39
